epoch,loss,lr,mae,mard,mse,rmse,tir_accuracy,val_loss,val_mae,val_mard,val_mse,val_rmse,val_tir_accuracy
0,15399.873046875,0.01,121.4805908203125,99.77171325683594,15399.744140625,124.095703125,0.02500000037252903,14223.552734375,116.55793762207031,99.50437927246094,14223.4189453125,119.26197814941406,0.0
1,15268.7314453125,0.01,120.9967269897461,99.40444946289062,15268.591796875,123.56614685058594,0.02500000037252903,14200.2158203125,116.46263122558594,99.42415618896484,14200.068359375,119.1640396118164,0.0
2,15091.1591796875,0.01,120.33380126953125,98.89353942871094,15091.009765625,122.84547424316406,0.02500000037252903,14103.130859375,116.03653717041016,99.03585052490234,14102.978515625,118.7559585571289,0.0
3,14859.1435546875,0.01,119.4219741821289,98.18254089355469,14858.986328125,121.8974380493164,0.02500000037252903,13790.6875,114.6849594116211,97.83168029785156,13790.525390625,117.43306732177734,0.0
4,14583.857421875,0.01,118.2203598022461,97.10304260253906,14583.6904296875,120.76295471191406,0.02500000037252903,13280.6767578125,112.43770599365234,95.82330322265625,13280.5048828125,115.24107360839844,0.0
