epoch,loss,lr,mae,mard,mse,rmse,tir_accuracy,val_loss,val_mae,val_mard,val_mse,val_rmse,val_tir_accuracy
0,15401.4013671875,0.01,121.52872467041016,99.85176086425781,15401.2705078125,124.10185241699219,0.02500000037252903,14286.2138671875,116.8259048461914,99.74365234375,14286.080078125,119.5243911743164,0.0
1,15295.818359375,0.01,121.13008117675781,99.5499038696289,15295.677734375,123.67569732666016,0.02500000037252903,14210.802734375,116.50370788574219,99.45616912841797,14210.6591796875,119.2084732055664,0.0
2,15158.296875,0.01,120.55047607421875,99.02999877929688,15158.146484375,123.11842346191406,0.02500000037252903,14065.5263671875,115.8790283203125,98.8983383178711,14065.373046875,118.59752655029297,0.0
